epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,5631.13,0.54798,0.81516,0.46196,0.87729,0.90424,0.89711,0.94708,0.86085,0.90682,0.90005,0.94661,0.82484,0.43204,0.75839,0.41712,0.85261,0.005347,0.005347,0.005347
49,5735.71,0.54962,0.81654,0.45963,0.87736,0.90835,0.89577,0.94791,0.86134,0.91467,0.89134,0.94723,0.82642,0.43521,0.75425,0.41897,0.85876,0.005248,0.005248,0.005248
50,5859.9,0.54594,0.80286,0.45725,0.87757,0.90824,0.89695,0.94791,0.86051,0.90831,0.89463,0.94656,0.82635,0.43253,0.75203,0.40807,0.8582,0.005149,0.005149,0.005149
51,5964.21,0.54837,0.80952,0.45548,0.87951,0.91193,0.89563,0.94884,0.86175,0.91218,0.89588,0.94729,0.827,0.43063,0.75688,0.40009,0.86005,0.00505,0.00505,0.00505
52,6068.96,0.54396,0.80254,0.45033,0.87708,0.90472,0.90027,0.94828,0.86316,0.90357,0.90112,0.94632,0.82695,0.42702,0.75313,0.40817,0.85391,0.004951,0.004951,0.004951
53,6171.78,0.54273,0.80039,0.45208,0.87738,0.91653,0.89216,0.94775,0.86335,0.91735,0.89066,0.94656,0.82844,0.42502,0.74913,0.40224,0.85394,0.004852,0.004852,0.004852
54,6276.45,0.54366,0.79583,0.44631,0.87659,0.91695,0.89012,0.94806,0.86163,0.91492,0.88819,0.94338,0.82415,0.42698,0.762,0.41017,0.85497,0.004753,0.004753,0.004753
55,6382.57,0.53961,0.79784,0.44975,0.87606,0.91412,0.89573,0.94875,0.86049,0.91362,0.89521,0.94723,0.82839,0.42964,0.75018,0.40709,0.85794,0.004654,0.004654,0.004654
56,6486.59,0.54178,0.80358,0.44849,0.87629,0.91569,0.89232,0.94938,0.86336,0.91452,0.8921,0.94737,0.82921,0.43086,0.75511,0.4106,0.8579,0.004555,0.004555,0.004555
57,6592.31,0.53355,0.78424,0.43954,0.87417,0.91461,0.89765,0.94853,0.86264,0.91063,0.89383,0.94539,0.82547,0.42842,0.75222,0.40902,0.85705,0.004456,0.004456,0.004456
58,6696.8,0.53504,0.78488,0.44293,0.87145,0.92192,0.89469,0.94907,0.86244,0.92091,0.89374,0.94695,0.82778,0.42799,0.75346,0.39898,0.85696,0.004357,0.004357,0.004357
59,6802.95,0.53784,0.79184,0.4409,0.87422,0.91828,0.89738,0.95004,0.8629,0.91769,0.89594,0.9487,0.8299,0.42435,0.74063,0.40084,0.85119,0.004258,0.004258,0.004258
60,6909.42,0.53178,0.78304,0.43465,0.87209,0.9177,0.89509,0.94915,0.86295,0.91593,0.89496,0.9465,0.8288,0.42519,0.74127,0.4075,0.85263,0.004159,0.004159,0.004159
61,7014.64,0.53171,0.77783,0.43523,0.87281,0.91747,0.89637,0.94922,0.86586,0.92015,0.89549,0.94881,0.83234,0.42135,0.74377,0.3983,0.84787,0.00406,0.00406,0.00406
62,7119.5,0.53332,0.79311,0.43577,0.87251,0.92336,0.88998,0.94924,0.86293,0.92308,0.89073,0.9494,0.83135,0.42433,0.74813,0.39653,0.85095,0.003961,0.003961,0.003961
63,7224.66,0.53538,0.78197,0.43376,0.87218,0.91839,0.8919,0.94795,0.86218,0.91864,0.89211,0.94725,0.83028,0.42755,0.74637,0.39634,0.85384,0.003862,0.003862,0.003862
64,7330.95,0.52844,0.77641,0.43174,0.87154,0.91476,0.89835,0.94872,0.86271,0.9142,0.89729,0.94741,0.8293,0.4262,0.73973,0.39563,0.85362,0.003763,0.003763,0.003763
65,7435.51,0.52634,0.76879,0.4269,0.86957,0.91263,0.90112,0.94795,0.86318,0.91235,0.90056,0.94677,0.82853,0.42757,0.74436,0.39751,0.85415,0.003664,0.003664,0.003664
66,7541.6,0.52424,0.76981,0.42517,0.86896,0.91668,0.89127,0.94753,0.86323,0.91851,0.89017,0.94596,0.82707,0.42282,0.74901,0.39965,0.85211,0.003565,0.003565,0.003565
67,7647.53,0.52753,0.77026,0.42761,0.86894,0.91849,0.88719,0.94847,0.86225,0.91879,0.88308,0.94387,0.82497,0.42236,0.75219,0.39737,0.85357,0.003466,0.003466,0.003466
